Column1,Column2,Number
6.06E+01,-1.57E+01,78
-1.09E+02,-1.84E+01,79
8.50E+01,-1.92E+01,80
-1.45E+02,5.42E+01,81
-4.81E+01,5.44E+01,82
6.51E+01,6.15E+01,83
-2.70E+01,-2.42E+01,84
7.01E+01,-2.39E+01,85
-1.30E+02,3.15E+01,86
5.99E+01,3.88E+01,87
1.68E+02,7.58E+01,88
-1.17E+02,-5.70E+00,89
3.38E+01,-6.98E+00,90
-8.97E+01,-6.13E+00,91
-1.35E+02,-1.67E+01,92
2.68E+01,-1.63E+01,93
-1.20E+02,8.05E+00,94
4.18E+01,8.50E+00,95
-1.19E+02,1.78E+01,96
6.97E+01,2.26E+01,97
-1.40E+02,3.44E+01,98
9.77E+01,6.36E+01,99
-1.34E+02,-5.88E+01,100
-3.15E+01,-5.77E+01,101
7.09E+01,-5.66E+01,102
1.79E+02,-6.62E+01,103
-5.60E+01,6.68E+01,104
-1.16E+02,7.22E+00,105
5.10E+01,5.74E+00,106
-1.18E+02,3.23E+01,107
4.38E+01,3.28E+01,108
-1.15E+02,-3.56E+01,109
4.63E+01,-4.78E+01,110
-1.19E+02,1.76E+01,111
9.32E+01,-3.80E+00,112
-1.25E+02,3.98E+01,113
-1.10E+01,4.84E+01,114
2.16E+01,-1.93E+00,115
2.13E+01,2.14E+01,116
-5.50E+01,2.74E+01,117
-1.02E+02,3.19E+01,118
6.00E+01,3.24E+01,119
-9.78E+01,4.98E+01,120
5.36E+01,5.96E+01,121
7.36E+00,-1.49E+01,122
1.57E-01,1.53E+01,123
5.67E+01,8.35E+00,124
1.66E+02,1.44E+01,125
-1.51E+02,-9.44E+00,126
5.52E+00,-9.85E+00,127
-1.25E+02,2.32E+00,128
1.59E+01,-2.26E-01,129
-1.03E+02,-2.87E+01,130
9.14E+01,-2.82E+01,131
2.72E+01,-2.45E+01,132
6.93E+01,-6.31E+00,133
2.18E+01,-5.69E+01,134
5.94E+01,-3.90E+01,135
6.56E+01,-3.33E+01,136
7.03E+01,1.83E+01,137
1.79E+02,2.24E+01,138
5.72E+01,4.62E+00,139
-2.56E+02,-1.36E+01,140
1.13E+02,1.04E+01,141
2.22E+02,3.47E+01,142
1.06E+02,1.12E+01,143
-1.59E+02,-4.03E+00,144
-1.19E+02,-1.78E+00,145
9.59E+01,-1.66E+01,146
9.65E+01,-5.67E+01,147
9.95E+01,-6.23E+00,148
-4.25E+01,7.81E+00,149
-8.51E+01,2.35E+01,150
6.54E+01,2.52E+01,151
-8.54E+01,1.96E+01,152
6.52E+01,1.98E+01,153
8.46E+01,-3.39E+01,154
1.93E+02,-2.98E+01,155
1.12E+02,3.14E+01,156
1.56E+02,1.05E+01,157
1.57E+02,-2.59E+01,158
1.57E+02,-1.69E+01,159
-1.45E+02,-6.60E+00,160
-1.59E+01,-6.24E+00,161
1.79E+02,7.29E+00,162
2.65E+02,-4.87E+01,163
3.75E+02,-3.43E+01,164
3.75E+02,-7.57E+01,165
1.77E+02,-2.91E+00,166
-1.27E+02,1.20E+01,167
-3.29E+01,1.25E+01,168
9.65E+01,1.29E+01,169
-1.36E+02,-2.16E+01,170
-3.25E+01,-2.33E+01,171
1.07E+02,-2.65E+01,172
-1.31E+02,1.29E+01,173
-3.26E+01,1.38E+01,174
1.02E+02,1.46E+01,175
-2.37E+02,6.23E+00,176
-2.38E+01,-1.12E+01,177
-1.88E+02,-1.25E+01,178
5.71E+00,-1.55E+01,179
-1.85E+02,-1.42E+01,180
-5.04E+01,-1.65E+01,181
-1.99E+02,3.19E+00,182
-4.80E+01,1.74E+01,183
1.06E+02,-2.74E+01,184
-1.15E+02,-2.32E+01,185
2.46E+01,-1.01E+01,186
-2.48E+02,-3.26E+01,187
-2.34E+02,2.16E+00,188
-2.44E+02,-9.21E+00,189
-2.05E+02,2.76E+01,190
-3.22E+01,2.37E+01,191
-1.24E+02,-2.78E+01,192
3.78E+01,-2.74E+01,193
-1.67E+02,-9.29E+00,194
-7.53E+01,-6.13E+00,195
8.17E+01,2.87E+00,196
1.92E+02,8.12E+00,197
5.99E+01,2.37E+01,198
-2.02E+02,1.20E+01,199
-1.82E+01,2.03E+01,200
-2.72E+01,6.75E+01,201
6.97E+01,-1.46E+00,202
-2.00E+02,-5.97E+00,203
-1.04E+02,-1.69E+01,204
2.42E+01,-1.75E+01,205
-8.22E+01,-1.43E+01,206
-2.75E+02,-4.33E+00,207
-9.00E+00,-1.30E+00,208
-4.93E+01,-4.21E+01,209
-2.43E+02,1.79E+01,210
-5.69E+00,3.02E+01,211
9.77E+01,-5.29E+01,212
9.50E+01,4.21E+01,213
-3.18E+01,-4.49E+01,214
6.01E+01,2.32E+01,215
-2.78E-01,-2.34E+01,216
-1.06E+02,-1.14E+01,217
-3.82E+01,2.40E+01,218
2.17E+01,-2.36E+01,219
-1.56E+02,4.84E+01,220
3.22E+01,6.62E+01,221
-2.27E+01,1.31E+01,222
-7.45E+00,2.49E+01,223
8.03E+01,1.16E+02,224
1.89E+02,1.45E+02,225
-1.45E+02,1.25E+01,226
1.68E+01,2.11E+01,227
-5.95E+00,-3.95E+00,228
7.08E+01,3.21E+01,229
1.79E+02,5.51E+01,230
7.31E+01,1.89E+02,231
6.94E+01,1.16E+01,232
1.79E+02,5.13E+01,233
-6.89E+00,-2.42E+01,234
-1.13E+02,4.38E+00,235
7.12E+01,1.26E+01,236
-1.98E+02,-4.19E+00,237
-2.64E+01,4.97E+01,238
-2.01E+02,-6.47E+00,239
1.57E+01,2.06E+01,240
-5.92E+01,2.98E+01,241
-1.45E+02,-3.09E+01,242
5.07E+01,4.41E+00,243
-1.13E+02,-2.82E+01,244
3.14E+01,2.26E+00,245
3.08E+01,5.73E+01,246
-1.12E+02,-3.74E+01,247
7.09E+01,-4.37E+01,248
1.79E+02,-3.74E+01,249
1.14E+02,1.81E+00,250
-1.15E+02,1.33E+01,251
7.02E+01,4.93E+01,252
8.68E+01,8.17E+00,253
3.26E+01,-2.25E+01,254
-2.03E+02,-2.01E+01,255
-2.43E+02,-4.20E+00,256
2.10E+01,3.52E+01,257
-1.40E+02,-4.93E+01,258
-8.13E+01,-4.30E+01,259
-7.51E+01,-3.73E+01,260
5.61E+01,1.67E+01,261
1.06E+02,-2.40E+01,262
1.56E+02,-3.62E+01,263
1.55E+02,-1.22E+01,264
1.55E+02,2.06E+01,265
-1.46E+02,4.27E+00,266
-2.67E+01,1.04E+01,267
1.79E+02,3.09E+01,268
2.87E+02,5.85E+01,269
2.62E+02,2.48E+01,270
2.65E+02,3.68E+00,271
1.77E+02,-2.91E+00,272
-1.35E+02,-3.16E+01,273
-3.23E+01,-4.32E+01,274
1.02E+02,-4.57E+01,275
2.12E+02,-6.68E+01,276
-1.34E+02,-1.52E+01,277
-3.11E+01,-8.72E+00,278
1.04E+02,-2.07E+01,279
2.13E+02,-2.84E+01,280
-1.34E+02,3.28E+00,281
-3.23E+01,1.29E+01,282
1.08E+02,1.79E+01,283
2.17E+02,2.85E+01,284
-2.32E+02,-1.51E+00,285
-1.64E+01,1.87E-01,286
-2.12E+02,-1.18E+01,287
-1.84E+01,-2.07E+01,288
-2.59E+02,1.06E+01,289
-2.49E+02,2.40E+01,290
-4.20E+01,-2.99E+01,291
-2.49E+02,2.40E+01,292
-5.53E+01,8.70E+00,293
-2.32E+02,-4.29E+00,294
-1.03E+02,-3.93E+00,295
4.83E+01,-5.70E+00,296
-2.32E+02,1.07E+01,297
-1.03E+02,-2.00E+01,298
4.87E+01,-2.28E+01,299
-1.79E+02,-3.38E+01,300
-7.20E+00,-3.73E+01,301
-1.79E+02,-4.53E+01,302
-5.77E+00,1.25E+01,303
-2.56E+02,-1.88E+01,304
-1.69E+02,-2.07E+01,305
9.06E+01,-2.66E+01,306
2.00E+02,-4.86E+01,307
-1.80E+02,-2.65E+01,308
-2.28E+01,-5.79E+00,309
-1.52E+02,1.69E+01,310
2.81E+01,9.42E+00,311
-1.68E+02,1.88E+01,312
3.70E+00,-3.88E+00,313
2.53E+02,-7.67E-01,314
-1.83E+02,3.28E+01,315
2.02E+01,-6.74E+01,316
-2.13E+02,3.60E+00,317
-2.10E+02,-1.44E+01,318
-8.11E+01,-1.41E+01,319
5.91E+01,-1.20E+01,320
-2.15E+02,6.38E+00,321
4.01E+01,1.76E+01,322
-2.66E+02,1.40E+01,323
-6.50E+01,7.43E+01,324
-1.90E+02,-4.62E+00,325
-6.05E+01,-4.26E+00,326
-5.87E+01,1.22E+01,327
5.06E+01,6.58E+01,328
-5.88E+01,2.20E+01,329
4.94E+01,5.81E+01,330
-1.13E+02,4.61E+01,331
-5.33E+00,6.78E+01,332
1.03E+02,8.95E+01,333
2.11E+02,1.30E+02,334
-1.68E+02,-3.06E+00,335
-2.81E+01,-2.28E+00,336
8.10E+01,-9.96E+00,337
-1.51E+02,-2.77E+01,338
4.32E+01,-4.55E+01,339
1.51E+02,-5.70E+01,340
-3.30E+01,-4.55E+01,341
-3.38E+01,-3.37E+01,342
-3.91E+01,-1.28E+01,343
-3.90E+01,-2.47E+01,344
-3.66E+01,-2.95E+01,345
-1.45E+02,7.49E+00,346
3.35E+01,1.67E+01,347
-1.39E+02,-4.17E+01,348
2.84E+01,-5.00E+01,349
1.37E+02,-3.50E+01,350
-3.98E+01,-2.57E+01,351
6.80E+01,-2.16E+01,352
-1.40E+02,-7.76E+00,353
2.93E+01,3.24E+00,354
1.39E+02,2.68E+01,355
3.90E+01,6.91E+01,356
-1.14E+02,-2.39E+01,357
3.66E+01,-1.49E+01,358
-8.14E+01,-3.81E+00,359
-1.54E+02,2.02E+01,360
-1.03E+02,-1.40E+01,361
9.12E+01,-1.34E+01,362
-1.06E+02,-1.49E+01,363
4.60E+01,-1.77E+01,364
-1.36E+02,1.02E+01,365
5.82E+01,1.09E+01,366
1.69E+02,1.23E+01,367
2.47E+01,-1.66E+01,368
2.63E+01,-1.86E+01,369
5.32E+00,-1.51E+01,370
5.01E+00,1.36E+01,371
-1.59E+02,-1.47E+01,372
3.44E+01,4.36E+00,373
-1.36E+02,1.44E+01,374
3.78E+01,8.52E+00,375
-1.47E+02,2.88E+00,376
6.95E+01,2.61E+01,377
-8.67E+01,3.26E+01,378
6.48E+01,3.44E+01,379
-8.62E+01,-1.14E+01,380
6.61E+01,3.77E+01,381
-2.56E+02,-2.95E+01,382
1.12E+02,-5.45E+00,383
-1.67E+01,-3.63E+00,384
6.16E+00,2.72E+01,385
-1.50E+02,-1.77E+01,386
2.33E+01,-7.26E+00,387
1.33E+02,-2.85E+00,388
-1.51E+02,5.10E+01,389
2.24E+01,7.71E+01,390
2.58E+01,1.96E+01,391
-1.07E+01,-1.02E+01,392
3.40E+01,-1.27E+01,393
1.43E+02,-4.98E+01,394
-1.92E+02,2.03E+01,395
-1.46E+02,-3.79E+00,396
4.80E+01,-3.25E+00,397
1.58E+02,-2.73E+01,398
-1.57E+02,8.79E+00,399
-2.76E+01,9.15E+00,400
1.02E+02,9.51E+00,401
-9.56E+01,2.27E+01,402
5.59E+01,2.45E+01,403
5.60E+01,1.54E+01,404
5.21E+01,5.82E+01,405
-1.16E+02,-2.29E+01,406
-1.45E+02,5.18E+00,407
-1.58E+01,3.09E+01,408
1.79E+02,-2.17E+01,409
2.87E+02,2.49E-02,410
-1.46E+02,3.61E+01,411
-1.64E+01,3.64E+01,412
1.80E+02,3.72E+01,413
2.87E+02,2.83E+01,414
1.55E+02,1.14E+02,415
1.56E+02,3.88E+01,416
1.56E+02,7.63E+01,417
1.78E+02,-1.65E+01,418
2.87E+02,-2.40E+00,419
1.79E+02,-3.39E+01,420
2.89E+02,-2.70E+01,421
2.55E+02,-1.66E+01,422
3.65E+02,-2.11E+01,423
2.54E+02,3.25E+01,424
3.65E+02,2.92E+01,425
2.67E+02,-2.41E+01,426
3.76E+02,-3.64E+01,427
1.77E+02,-2.85E+00,428
1.81E+02,-9.28E+01,429
1.84E+02,-1.28E+02,430
1.77E+02,6.22E+01,431
1.77E+02,-5.82E+01,432
-1.26E+02,2.10E+01,433
-3.22E+01,3.29E+01,434
9.71E+01,3.33E+01,435
-1.36E+02,-1.83E+01,436
-3.23E+01,-2.83E+01,437
1.07E+02,-3.50E+01,438
-1.30E+02,8.95E-01,439
-3.19E+01,2.82E+00,440
1.03E+02,5.95E+00,441
-2.06E+02,-1.94E+01,442
-1.03E+02,-1.71E+01,443
5.29E+01,-1.07E+01,444
-2.00E+02,4.10E+00,445
-2.78E+01,-5.61E+00,446
-2.61E+02,1.01E+01,447
-5.55E+01,-9.90E+00,448
-1.85E+02,-1.01E+01,449
-7.73E+01,-1.14E+01,450
9.64E+01,-1.26E+00,451
-1.68E+02,-1.57E+01,452
8.75E+01,-3.42E+01,453
-9.12E+01,-4.99E+00,454
6.64E+01,2.99E+00,455
-9.20E+01,6.31E+01,456
6.34E+01,1.06E+02,457
-2.29E+02,6.05E+00,458
-1.13E+01,2.79E+01,459
-1.15E+01,4.75E+01,460
-1.14E+01,3.77E+01,461
-1.05E+01,-2.60E+01,462
-2.08E+02,-1.69E+01,463
4.27E+01,3.84E+01,464
-3.48E+01,-7.00E+00,465
-1.14E+02,-4.05E+01,466
6.42E+01,-4.60E+01,467
-1.72E+02,-4.20E+00,468
1.55E+01,-1.82E+01,469
-1.19E+02,4.20E+00,470
4.32E+01,9.13E+00,471
4.94E+01,-2.68E+01,472
-9.57E+01,-2.97E+01,473
6.57E+01,-3.37E+01,474
-9.29E+01,-2.36E+01,475
4.67E+01,-3.20E+00,476
1.56E+02,-9.19E+00,477
6.46E+01,-3.92E+01,478
7.70E+01,-2.78E+01,479
-1.36E+02,-2.86E+01,480
1.69E+01,-3.07E+01,481
-1.62E+02,-8.38E+00,482
-1.16E+02,-1.64E+01,483
4.62E+01,-1.26E+01,484
-1.48E+02,5.15E+01,485
7.12E+01,5.56E+01,486
-1.57E+02,6.72E+01,487
-1.35E+02,-1.69E+01,488
-2.36E+02,-8.78E+00,489
-2.64E+01,-4.65E+01,490
5.61E+01,4.19E+01,491
-1.46E+02,2.15E+00,492
-2.77E+01,-7.30E+00,493
1.77E+02,1.48E-01,494
2.88E+02,8.99E+00,495
-5.00E+01,3.10E+01,496
-1.62E+02,-1.15E+01,497
9.88E+01,-2.96E+01,498
2.08E+02,-3.69E+01,499
-1.14E+02,3.15E+01,500
9.67E+01,4.88E+01,501
-1.15E+02,2.34E+01,502
6.89E+01,1.60E+01,503
-1.45E+02,-1.61E+01,504
5.96E+01,-1.95E+01,505
2.20E+01,6.59E+00,506
-1.14E+02,-6.83E+00,507
2.58E+01,-8.49E+00,508
-9.80E+01,1.91E+00,509
-1.09E+02,1.80E-01,510
6.40E+01,2.15E+00,511
1.75E+02,3.12E+01,512
7.96E+01,-2.27E+01,513
1.09E+02,1.38E+01,514
8.55E+01,2.85E+01,515
1.08E+02,6.56E+01,516
1.09E+02,3.06E+01,517
1.14E+02,-2.29E+01,518
1.15E+02,-2.81E+01,519
1.18E+02,-4.16E+00,520
8.63E+01,-2.59E+01,521
9.64E+01,2.93E+01,522
9.83E+01,7.43E+00,523
7.90E+01,3.28E+01,524
1.02E+02,2.04E+00,525
1.09E+02,-3.80E+01,526
9.03E+01,9.52E-01,527
1.98E+02,7.38E+00,528
9.68E+01,7.62E+01,529
9.82E+01,7.04E+01,530
4.77E+01,-2.96E+01,531
5.23E+00,-2.14E+01,532
9.22E+01,4.67E+00,533
9.22E+01,4.67E+00,534
9.22E+01,4.67E+00,535
9.22E+01,4.67E+00,536
9.22E+01,4.67E+00,537
1.55E+02,3.28E+01,538
1.57E+02,1.06E+01,539
1.58E+02,-4.64E+01,540
2.66E+02,-1.05E+00,541
2.66E+02,-1.78E+01,542
1.79E+02,2.73E+00,543
2.53E+02,1.81E+01,544
2.62E+02,2.22E+01,545
2.64E+02,-1.37E+00,546
1.75E+02,3.31E+01,547
4.80E+01,-3.40E+00,548
1.77E+02,-3.04E+00,549
1.79E+02,-4.14E+01,550
1.77E+02,-3.07E+00,551
1.78E+02,-4.78E+01,552
3.07E+02,-2.72E+00,553
1.77E+02,-2.90E+00,554
-1.38E+02,-5.77E+00,555
-2.50E+01,-4.05E+00,556
9.86E+01,-8.10E+00,557
-1.38E+02,-1.91E+00,558
-1.83E+01,-5.44E+00,559
1.01E+02,-1.11E+01,560
-1.37E+02,-9.84E+00,561
-2.35E+01,-1.09E+01,562
1.01E+02,-4.62E+00,563
-1.95E+02,-2.95E+00,564
-1.65E+01,-3.99E+00,565
-1.74E+02,-1.03E+00,566
-7.11E+01,1.18E+01,567
6.90E+01,2.11E+01,568
-1.66E+02,-2.46E+01,569
1.20E+01,-4.74E+01,570
-1.29E+02,-1.47E+01,571
6.83E+01,-3.61E+01,572
-1.29E+02,-1.47E+01,573
6.83E+01,-3.61E+01,574
-1.29E+02,-1.47E+01,575
6.83E+01,-3.61E+01,576
-1.55E+02,1.28E+00,577
5.58E+01,2.15E+01,578
-1.85E+02,2.37E+00,579
-8.36E+01,-3.23E+00,580
5.68E+01,-6.92E+00,581
-1.51E+02,-3.39E+01,582
6.63E+01,-3.75E+01,583
-1.67E+02,4.80E+01,584
-4.76E+01,5.47E+01,585
8.76E+01,7.50E+01,586
-1.33E+02,-2.46E+01,587
-1.23E+01,-4.56E+01,588
-1.16E+02,-1.14E+01,589
7.77E+01,-7.59E+00,590
8.86E+00,2.63E+01,591
1.17E+02,5.32E+01,592
-1.41E+02,1.85E+01,593
-3.27E+01,3.54E+01,594
7.58E+01,3.97E+01,595
-1.53E+02,-2.07E+01,596
-5.59E+01,-1.42E+01,597
7.92E+01,-4.07E+00,598
3.02E+01,4.35E+01,599
3.15E+01,1.18E+01,600
-1.35E+02,2.02E+01,601
-5.97E+01,3.49E+01,602
6.98E+01,-4.90E+00,603
-1.90E+02,2.99E+00,604
-8.15E+01,4.07E+01,605
5.29E+01,-7.14E+00,606
-1.69E+02,-3.33E+00,607
4.72E+01,-2.22E+01,608
-1.67E+02,-1.46E+00,609
4.85E+01,-2.70E+01,610
2.68E+01,-2.80E+01,611
-1.55E+02,-1.81E+01,612
-9.12E+01,-1.74E+01,613
8.98E+01,-2.88E+00,614
-1.31E+02,8.97E+00,615
4.70E+01,-9.02E+00,616
1.13E+02,6.90E+00,617
2.93E+01,-1.30E+01,618
-1.20E+02,2.18E+01,619
4.35E+01,5.37E+01,620
-9.41E+01,2.23E+01,621
5.65E+01,5.34E+01,622
5.88E+01,-2.39E+01,623
-1.43E+02,3.07E+01,624
5.24E+01,6.61E+01,625
-8.56E+01,4.92E+01,626
6.62E+01,5.91E+01,627
-3.51E+01,-2.43E+01,628
1.44E+02,-4.18E+01,629
-1.16E+02,1.72E+00,630
4.14E+01,1.01E+01,631
-1.12E+02,-3.20E+01,632
8.27E+01,-4.94E+01,633
-1.47E+02,-2.30E+01,634
3.65E+01,-3.43E+01,635
-1.57E+02,-1.92E+00,636
-4.89E+01,3.63E+00,637
5.91E+01,1.30E+01,638
-1.54E+02,-1.63E+01,639
-6.82E+01,-1.96E+01,640
6.02E+01,5.74E+00,641
-1.42E+02,-4.45E+00,642
4.07E+01,-3.09E+01,643
-1.39E+02,-4.97E+00,644
-4.25E+01,-4.70E+00,645
1.09E+02,-7.47E+00,646
-1.09E+02,-1.34E+01,647
4.22E+01,-1.16E+01,648
-7.99E+00,-3.33E+01,649
-1.30E+02,-8.27E+00,650
6.68E+01,6.43E+01,651
-1.52E+02,1.28E+01,652
3.13E+01,1.83E+01,653
-1.08E+02,1.57E+00,654
4.74E+01,2.96E+00,655
3.32E+01,1.78E+01,656
-1.26E+02,-1.54E+01,657
3.96E+01,-4.40E+01,658
-1.41E+02,6.36E+01,659
5.85E+01,8.36E+01,660
-1.45E+02,2.53E+01,661
5.89E+00,2.84E+01,662
9.16E+01,2.07E+01,663
-1.73E+02,-1.66E+01,664
-3.13E+01,1.28E+01,665
8.83E+01,7.13E+00,666
-1.07E+02,-8.78E-01,667
5.60E+01,9.86E-01,668
-1.72E+02,1.06E+01,669
-6.98E+01,-1.57E+01,670
9.32E+01,-2.24E+01,671
-1.24E+02,7.65E+00,672
-2.68E+01,9.70E+00,673
1.14E+02,4.61E+00,674
-1.39E+02,-8.88E+00,675
5.42E+01,2.07E+01,676
5.30E+01,-5.12E+01,677
-1.41E+02,4.06E+01,678
6.32E+01,-8.05E+01,679
3.81E+01,3.02E+01,680
-9.11E+01,-1.22E+01,681
8.22E+01,-3.83E+01,682
5.48E+01,3.44E+01,683
-1.43E+02,1.27E+01,684
5.20E+01,2.43E+01,685
-1.02E+02,8.82E+00,686
6.01E+01,2.51E+01,687
5.83E+01,4.22E+01,688
-9.26E+01,-1.50E+00,689
8.02E+01,5.06E+00,690
-7.17E+01,1.35E+01,691
7.79E+01,2.65E+01,692
5.40E+01,-1.51E+01,693
5.18E+01,1.02E+01,694
-1.45E+02,6.27E+00,695
-1.61E+01,6.63E+00,696
1.79E+02,-2.00E+01,697
-8.07E+01,-2.53E+00,698
1.24E+02,-4.34E+01,699
1.55E+02,1.06E+01,700
1.56E+02,-3.69E+00,701
1.55E+02,-1.93E+01,702
1.58E+02,-4.30E+01,703
1.56E+02,-3.55E+01,704
1.58E+02,-4.30E+01,705
1.58E+02,-4.56E+01,706
2.66E+02,-1.15E+01,707
2.66E+02,1.27E+01,708
1.79E+02,-1.84E+01,709
1.80E+02,-7.29E+00,710
2.43E+02,-1.70E+01,711
2.87E+02,-3.31E+00,712
2.88E+02,-3.15E+01,713
1.56E+02,-2.99E+01,714
1.56E+02,-2.99E+01,715
1.78E+02,-2.09E+01,716
1.77E+02,-1.92E+01,717
1.80E+02,-1.42E+01,718
-1.32E+02,1.43E+01,719
-3.27E+01,2.48E+01,720
1.02E+02,3.87E+01,721
-1.38E+02,-2.03E+01,722
-2.78E+01,-2.26E+01,723
1.07E+02,-3.35E+01,724
-1.31E+02,-2.86E+01,725
-3.27E+01,-4.02E+01,726
1.02E+02,-4.63E+01,727
-2.15E+02,-1.33E+01,728
-1.54E+01,5.15E+00,729
-1.70E+02,-1.42E+01,730
-5.81E+01,-1.99E+01,731
6.72E+01,-3.58E+01,732
-2.54E+02,8.36E-01,733
-2.41E+02,1.84E+01,734
-2.69E+01,-4.04E+01,735
-7.19E+01,-1.88E+01,736
7.69E+01,-3.82E+01,737
-1.42E+02,-7.10E+00,738
-6.89E+01,-8.52E+00,739
1.27E+02,-9.37E+00,740
-9.19E+01,-8.18E+00,741
1.03E+02,-1.21E+01,742
-9.39E+01,1.27E+01,743
6.52E+01,1.44E+01,744
3.85E+01,-2.27E+01,745
-8.72E+01,-1.43E+01,746
3.17E+01,-2.34E+01,747
3.17E+01,-2.34E+01,748
-1.18E+02,4.92E+01,749
1.46E+01,8.08E+01,750
9.72E+01,-4.04E+01,751
8.98E+01,7.76E+01,752
-1.02E+02,1.77E+01,753
2.97E+01,1.52E+01,754
-1.02E+02,6.04E+00,755
4.83E+01,2.88E+00,756
-1.59E+02,5.95E+00,757
5.01E+01,1.13E+01,758
-1.40E+02,1.30E+01,759
6.97E+01,4.04E+01,760
-1.23E+02,1.32E+01,761
6.48E+01,2.42E+01,762
-1.13E+02,7.23E+00,763
7.15E+01,-5.04E-01,764
-1.58E+02,-3.37E+01,765
4.94E+01,-5.08E+01,766
-7.86E+01,2.03E+01,767
9.30E+01,3.26E+01,768
-7.91E+01,-4.10E+00,769
9.20E+01,1.14E-01,770
9.72E+01,-5.47E+00,771
6.88E+01,-2.86E+01,772
-5.40E+00,-3.61E+01,773
6.88E+01,8.28E+01,774
-1.45E+02,-6.23E+00,775
1.89E+01,-6.74E+00,776
1.79E+02,-7.78E+00,777
3.81E+01,7.57E+00,778
-1.35E+02,4.60E+00,779
4.24E+01,1.63E+01,780
-1.08E+02,1.38E+01,781
-1.08E+02,1.07E+01,782
-1.08E+02,1.69E+01,783
-1.08E+02,2.00E+01,784
6.27E+01,3.13E+01,785
6.25E+01,2.18E+01,786
6.29E+01,4.07E+01,787
6.31E+01,5.01E+01,788
-1.42E+02,3.91E+01,789
8.47E+01,1.10E+02,790
-2.06E+02,-1.89E+01,791
1.06E+02,-3.52E+01,792
2.65E+02,-1.47E+01,793
2.65E+02,-1.47E+01,794
1.76E+02,2.14E+01,795
1.80E+02,6.71E+01,796
2.90E+02,-2.09E+01,797
1.81E+02,-2.76E+01,798
2.69E+02,-3.74E+01,799
1.80E+02,1.47E+01,800
