Gene,Refseq,chr,start,end,strand,siNup153,siNup93,DamID_Nup153,DamID_Nup93,DamID_Class,siNup_any,siRNA_Class,siRNA_bool,DamID_bool,siNup93_expr,siNup93_bool,siNup153_expr,siNup153_bool,chr_loci,incl_nup_si_dam
PEX10,NM_153818,1,2336241,2344010,-,0,-1,0,0,0,1,1,1,0,change,1,none,0,1.002336241,TRUE
PLCH2,NM_001303013,1,2407754,2436969,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.002407754,TRUE
PANK4,NM_018216,1,2439970,2458067,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.00243997,TRUE
HES5,NM_001010926,1,2460184,2461684,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.002460184,TRUE
LOC115110,NR_037844,1,2481359,2488450,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.002481359,TRUE
TNFRSF14,NM_003820,1,2487804,2497061,+,-1,-1,0,0,0,1,3,1,0,change,1,change,1,1.002487804,TRUE
LOC100996583,NR_121638,1,2497974,2515973,+,0,1,0,0,0,1,0,0,0,change,1,none,0,1.002497974,TRUE
FAM213B,NM_001195736,1,2518189,2522908,+,1,-1,0,0,0,1,1,1,0,change,1,change,1,1.002518189,TRUE
MMEL1,NM_033467,1,2522081,2564481,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.002522081,TRUE
TTC34,NM_001242672,1,2572807,2706230,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.002572807,TRUE
ACTRT2,NM_080431,1,2938046,2939467,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.002938046,TRUE
LINC00982,NR_015440,1,2976181,2984289,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.002976181,TRUE
PRDM16,NM_022114,1,2985742,3355185,+,0,-1,0,0,0,1,1,1,0,change,1,none,0,1.002985742,TRUE
MIR4251,NR_036215,1,3044539,3044599,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.003044539,TRUE
ARHGEF16,NM_014448,1,3371147,3397677,+,1,1,0,0,0,1,0,0,0,change,1,change,1,1.003371147,TRUE
MEGF6,NM_001409,1,3404506,3528059,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.003404506,TRUE
MIR551A,NR_030277,1,3477260,3477354,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.00347726,TRUE
TPRG1L,NM_182752,1,3541556,3546694,+,-1,0,0,0,0,1,2,1,0,none,0,change,1,1.003541556,TRUE
WRAP73,NM_017818,1,3547331,3566671,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.003547331,TRUE
TP73,NM_001204186,1,3569129,3652765,+,1,0,0,0,0,1,0,0,0,none,0,change,1,1.003569129,TRUE
TP73-AS1,NR_033709,1,3652548,3663937,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.003652548,TRUE
CCDC27,NM_152492,1,3668965,3688209,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.003668965,TRUE
SMIM1,NM_001163724,1,3689351,3692546,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.003689351,TRUE
LRRC47,NM_020710,1,3696784,3713068,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.003696784,TRUE
CEP104,NM_014704,1,3728645,3773797,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.003728645,TRUE
DFFB,NR_104222,1,3773831,3801993,+,0,1,0,0,0,1,0,0,0,change,1,none,0,1.003773831,TRUE
C1orf174,NM_207356,1,3805697,3816857,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.003805697,TRUE
LINC01134,NR_024455,1,3816968,3832011,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.003816968,TRUE
LINC01346,NR_040065,1,4000672,4012643,+,-1,-1,0,0,0,1,3,1,0,change,1,change,1,1.004000672,TRUE
LOC284661,NR_027088,1,4472111,4484744,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.004472111,TRUE
AJAP1,NM_018836,1,4715105,4843851,+,1,0,0,0,0,1,0,0,0,none,0,change,1,1.004715105,TRUE
MIR4417,NR_039612,1,5624131,5624203,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.005624131,TRUE
MIR4689,NR_039838,1,5922732,5922801,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.005922732,TRUE
NPHP4,NM_015102,1,5922868,6052533,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.005922868,TRUE
KCNAB2,NM_001199861,1,6052358,6161253,+,0,1,0,0,0,1,0,0,0,change,1,none,0,1.006052358,TRUE
CHD5,NM_015557,1,6161847,6240194,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.006161847,TRUE
RPL22,NM_000983,1,6245080,6259679,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.00624508,TRUE
LOC102724450,NR_125997,1,6264900,6265840,-,0,-1,0,0,0,1,1,1,0,change,1,none,0,1.0062649,TRUE
RNF207,NM_207396,1,6266189,6281359,+,-1,-1,0,0,0,1,3,1,0,change,1,change,1,1.006266189,TRUE
ICMT,NM_012405,1,6281253,6296044,-,0,-1,0,0,0,1,1,1,0,change,1,none,0,1.006281253,TRUE
LINC00337,NR_103534,1,6296300,6299502,+,1,1,0,0,0,1,0,0,0,change,1,change,1,1.0062963,TRUE
HES3,NM_001024598,1,6304252,6305638,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.006304252,TRUE
GPR153,NM_207370,1,6307406,6321035,-,-1,-1,0,0,0,1,3,1,0,change,1,change,1,1.006307406,TRUE
ACOT7,NM_007274,1,6324332,6453826,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.006324332,TRUE
HES2,NM_019089,1,6475294,6479979,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.006475294,TRUE
ESPN,NM_031475,1,6484848,6521004,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.006484848,TRUE
MIR4252,NR_036218,1,6489894,6489956,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.006489894,TRUE
TNFRSF25,NM_148966,1,6521214,6526255,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.006521214,TRUE
PLEKHG5,NM_198681,1,6526152,6580121,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.006526152,TRUE
NOL9,NM_024654,1,6581407,6614658,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.006581407,TRUE
TAS1R1,NM_138697,1,6615338,6639817,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.006615338,TRUE
ZBTB48,NM_005341,1,6640051,6649340,+,0,-1,0,0,0,1,1,1,0,change,1,none,0,1.006640051,TRUE
KLHL21,NM_014851,1,6650784,6662958,-,0,1,0,0,0,1,0,0,0,change,1,none,0,1.006650784,TRUE
PHF13,NM_153812,1,6673756,6684093,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.006673756,TRUE
THAP3,NM_138350,1,6685210,6695646,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.00668521,TRUE
DNAJC11,NM_018198,1,6694228,6761966,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.006694228,TRUE
LOC100505887,NR_104620,1,6784805,6790072,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.006784805,TRUE
CAMTA1,NM_015215,1,6845384,7829766,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.006845384,TRUE
VAMP3,NM_004781,1,7831329,7841492,+,-1,-1,0,0,0,1,3,1,0,change,1,change,1,1.007831329,TRUE
PER3,NM_016831,1,7844489,7905240,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.007844489,TRUE
UTS2,NM_021995,1,7907672,7913551,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.007907672,TRUE
TNFRSF9,NM_001561,1,7975931,8003225,-,0,1,0,0,0,1,0,0,0,change,1,none,0,1.007975931,TRUE
PARK7,NM_007262,1,8021714,8045342,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.008021714,TRUE
ERRFI1,NM_018948,1,8071779,8086393,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.008071779,TRUE
LOC102724539,NR_125998,1,8268732,8275268,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.008268732,TRUE
SLC45A1,NM_001080397,1,8378145,8404227,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.008378145,TRUE
RERE,NM_012102,1,8412464,8877699,-,0,-1,1,0,2,1,1,1,1,change,1,none,0,1.008412464,TRUE
LOC102724552,NR_125999,1,8484705,8495076,+,-1,0,0,0,0,1,2,1,0,none,0,change,1,1.008484705,TRUE
ENO1,NM_001428,1,8921059,8939151,-,0,1,1,1,3,1,0,0,1,change,1,none,0,1.008921059,TRUE
MIR6728,NR_106786,1,8926561,8926649,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.008926561,TRUE
ENO1-AS1,NR_038351,1,8938894,8939943,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.008938894,TRUE
CA6,NM_001270502,1,9005893,9035148,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.009005893,TRUE
SLC2A7,NM_207420,1,9063359,9086404,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.009063359,TRUE
SLC2A5,NM_003039,1,9097005,9129887,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.009097005,TRUE
GPR157,NM_024980,1,9164476,9189229,-,-1,-1,0,0,0,1,3,1,0,change,1,change,1,1.009164476,TRUE
MIR34A,NR_029610,1,9211727,9211836,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.009211727,TRUE
H6PD,NM_004285,1,9294863,9331394,+,-1,-1,0,0,0,1,3,1,0,change,1,change,1,1.009294863,TRUE
SPSB1,NM_025106,1,9352941,9429590,+,0,1,0,0,0,1,0,0,0,change,1,none,0,1.009352941,TRUE
LOC100506022,NR_104622,1,9485153,9489055,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.009485153,TRUE
SLC25A33,NM_032315,1,9599528,9642831,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.009599528,TRUE
TMEM201,NM_001130924,1,9648932,9674935,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.009648932,TRUE
PIK3CD,NM_005026,1,9711790,9789172,+,-1,1,0,0,0,1,2,1,0,change,1,change,1,1.00971179,TRUE
PIK3CD-AS1,NR_027045,1,9712668,9714644,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.009712668,TRUE
PIK3CD-AS2,NR_126366,1,9732484,9747632,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.009732484,TRUE
CLSTN1,NM_001009566,1,9789079,9884584,-,-1,-1,0,0,0,1,3,1,0,change,1,change,1,1.009789079,TRUE
CTNNBIP1,NM_001012329,1,9908334,9970316,-,0,1,1,1,3,1,0,0,1,change,1,none,0,1.009908334,TRUE
LZIC,NM_032368,1,9989776,10002826,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.009989776,TRUE
NMNAT1,NM_001297778,1,10002981,10045556,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.010002981,TRUE
MIR5697,NR_049882,1,10027439,10027516,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.010027439,TRUE
RBP7,NM_052960,1,10057255,10076078,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.010057255,TRUE
UBE4B,NM_001105562,1,10093041,10241296,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.010093041,TRUE
KIF1B,NM_015074,1,10270764,10441661,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.010270764,TRUE
RNU6-2,NR_125730,1,10359024,10359128,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.010359024,TRUE
PGD,NM_002631,1,10459049,10480568,+,0,1,0,0,0,1,0,0,0,change,1,none,0,1.010459049,TRUE
APITD1-CORT,NM_198544,1,10490159,10512060,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.010490159,TRUE
APITD1,NM_199294,1,10490159,10502872,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.010490159,TRUE
CORT,NM_001302,1,10509776,10512060,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.010509776,TRUE
DFFA,NM_004401,1,10520603,10532613,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.010520603,TRUE
PEX14,NM_004565,1,10535003,10690815,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.010535003,TRUE
CASZ1,NM_001079843,1,10696666,10856733,-,0,-1,0,0,0,1,1,1,0,change,1,none,0,1.010696666,TRUE
C1orf127,NM_001170754,1,11006530,11042094,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.01100653,TRUE
TARDBP,NM_007375,1,11072679,11085549,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.011072679,TRUE
MASP2,NM_006610,1,11086580,11107296,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.01108658,TRUE
SRM,NM_003132,1,11114649,11120091,-,0,-1,0,0,0,1,1,1,0,change,1,none,0,1.011114649,TRUE
EXOSC10,NM_001001998,1,11126670,11159967,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.01112667,TRUE
MTOR,NM_004958,1,11166588,11322608,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.011166588,TRUE
MTOR-AS1,NR_046600,1,11203955,11209595,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.011203955,TRUE
ANGPTL7,NM_021146,1,11249346,11256038,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.011249346,TRUE
UBIAD1,NM_013319,1,11333255,11348491,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.011333255,TRUE
PTCHD2,NM_020780,1,11539295,11597640,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.011539295,TRUE
LOC101929181,NR_104624,1,11669588,11673411,+,1,0,0,0,0,1,0,0,0,none,0,change,1,1.011669588,TRUE
FBXO2,NM_012168,1,11708418,11714888,-,-1,1,0,0,0,1,2,1,0,change,1,change,1,1.011708418,TRUE
FBXO44,NM_033182,1,11714914,11723384,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.011714914,TRUE
FBXO6,NM_018438,1,11724150,11734409,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.01172415,TRUE
MAD2L2,NM_001127325,1,11734537,11751678,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.011734537,TRUE
DRAXIN,NM_198545,1,11751781,11780336,+,1,0,0,0,0,1,0,0,0,none,0,change,1,1.011751781,TRUE
AGTRAP,NM_001040195,1,11796142,11810828,+,0,0,1,0,2,0,0,0,1,none,0,none,0,1.011796142,TRUE
C1orf167,NM_001010881,1,11822250,11849642,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.01182225,TRUE
LOC102724659,NR_126000,1,11837134,11839676,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.011837134,TRUE
MTHFR,NM_005957,1,11845787,11866160,-,-1,-1,0,0,0,1,3,1,0,change,1,change,1,1.011845787,TRUE
CLCN6,NM_001286,1,11866153,11903201,+,0,0,0,1,1,0,0,0,1,none,0,none,0,1.011866153,TRUE
NPPA-AS1,NR_037806,1,11900376,11907673,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.011900376,TRUE
NPPA,NM_006172,1,11905767,11907840,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.011905767,TRUE
NPPB,NM_002521,1,11917521,11918992,-,1,1,0,0,0,1,0,0,0,change,1,change,1,1.011917521,TRUE
KIAA2013,NM_138346,1,11979645,11986485,-,0,0,1,1,3,0,0,0,1,none,0,none,0,1.011979645,TRUE
PLOD1,NM_000302,1,11994724,12035599,+,0,-1,0,0,0,1,1,1,0,change,1,none,0,1.011994724,TRUE
MFN2,NM_001127660,1,12040238,12073572,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.012040238,TRUE
MIIP,NM_021933,1,12079299,12092106,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.012079299,TRUE
MIR6729,NR_106787,1,12089215,12089279,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.012089215,TRUE
TNFRSF8,NM_001243,1,12123434,12204264,+,0,1,0,0,0,1,0,0,0,change,1,none,0,1.012123434,TRUE
MIR7846,NR_107000,1,12227000,12227095,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.012227,TRUE
TNFRSF1B,NM_001066,1,12227060,12269277,+,0,-1,0,0,0,1,1,1,0,change,1,none,0,1.01222706,TRUE
MIR4632,NR_039775,1,12251770,12251830,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.01225177,TRUE
